Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,abbreviation,allelic_requirement,consider,database_cross_reference,definition,discarded/obsoleted synonym,has_alternative_id,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_obo_format_version,has_obo_namespace,has_related_synonym,has_synonym_type,http://data.bioontology.org/metadata/treeView,http://purl.obolibrary.org/obo/hp.obo#hposlim_core,http://purl.obolibrary.org/obo/hp.obo#secondary_consequence,http://purl.obolibrary.org/obo/IAO_0000231,http://purl.obolibrary.org/obo/IAO_0000700,http://purl.obolibrary.org/obo/RO_0002581,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/terms/contributor,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/date,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,in_subset,inheres in,inheres in part of,layperson term,logical-definition-view-relation,part of,plural form,shorthand,subset_property,synonym_type_property,term replaced by,UK spelling
http://purl.obolibrary.org/obo/HP_0002626,Venous varicosities of celiac and mesenteric vessels,Venous varicosities of coeliac and mesenteric vessels,"Elongated and tortuous mesenteric veins, which comprise the inferior mesenteric vein and the superior mesenteric vein.",false,,,http://purl.obolibrary.org/obo/HP_0002619,,,,UMLS:C1857692,"Elongated and tortuous mesenteric veins, which comprise the inferior mesenteric vein and the superior mesenteric vein.",,,,Venous varicosities of coeliac and mesenteric vessels,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0002619,,,,,,,,,,,,,,,,,,HP:0002626,,Venous varicosities of celiac and mesenteric vessels,,HP:0002626,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0008585,HP_0008585,,,true,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,,,,,,,,,,,,,,,true,HP:0008585,,,,,,,,,,,http://purl.obolibrary.org/obo/HP_0008619,
http://purl.obolibrary.org/obo/HP_0025610,Posterior blepharitis,Meibomian gland dysfunction|Meibomian gland disease,"A type of blepharitis that affects the meibomian glands and meibomian gland orifices. This abnormality can be associated with a spectrum of appearances ranging from meibomian seborrhoea (foaming meibomian gland secretions) and meibomianitis (inflamed meibomian glands), to chalazia.",false,,,http://purl.obolibrary.org/obo/HP_0000498,,,,,"A type of blepharitis that affects the meibomian glands and meibomian gland orifices. This abnormality can be associated with a spectrum of appearances ranging from meibomian seborrhoea (foaming meibomian gland secretions) and meibomianitis (inflamed meibomian glands), to chalazia.",,,,Meibomian gland dysfunction,,,human_phenotype,Meibomian gland disease,,http://purl.obolibrary.org/obo/HP_0000498,,,,,,,2018-01-13T22:53:43Z,,,,,,https://orcid.org/0000-0002-0736-9199,,,,,HP:0025610,,Posterior blepharitis,,HP:0025610,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011138,Abnormal skin adnexa morphology,Abnormality of skin adnexa morphology|Abnormal skin appendage,"An abnormality of the skin adnexa (skin appendages), which are specialized skin structures located within the dermis and focally within the subcutaneous fatty tissue, comprising three histologically distinct structures: (1) the pilosebaceous unit (hair follicle and sebaceous glands); (2) the eccrine sweat glands; and (3) the apocrine glands.",false,,,http://purl.obolibrary.org/obo/HP_0001574,,,,UMLS:C4023518,"An abnormality of the skin adnexa (skin appendages), which are specialized skin structures located within the dermis and focally within the subcutaneous fatty tissue, comprising three histologically distinct structures: (1) the pilosebaceous unit (hair follicle and sebaceous glands); (2) the eccrine sweat glands; and (3) the apocrine glands.",,,,Abnormality of skin adnexa morphology|Abnormal skin appendage,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0001574,,,,,,,,,,,,,https://orcid.org/0000-0002-0736-9199,,,2011-06-19T06:25:34Z,,HP:0011138,,Abnormal skin adnexa morphology,,HP:0011138,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0033174,Bloody bronchoalveolar lavage fluid,,"Return of lavage fluid characteristically has a bloody apperance in pulmonary alveolar hemorrhage. This is due to admixture of blood, which typically increases with each consecutive lavage portion. Microscopically erythrocytes can be seen. After 24 to 48 h macrophages contain phagocytosed erythrocytes, indicating previous bleeding.",false,,,http://purl.obolibrary.org/obo/HP_0032973,,,,,"Return of lavage fluid characteristically has a bloody apperance in pulmonary alveolar hemorrhage. This is due to admixture of blood, which typically increases with each consecutive lavage portion. Microscopically erythrocytes can be seen. After 24 to 48 h macrophages contain phagocytosed erythrocytes, indicating previous bleeding.",,,,,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0032973,,,,,,,2020-09-24T10:47:02Z,,,,,,https://orcid.org/0000-0002-0736-9199,,,,,HP:0033174,,Bloody bronchoalveolar lavage fluid,,HP:0033174,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001563,Fetal polyuria,Foetal polyuria,Abnormally increased production of urine by the fetus resulting in polyhydramnios.|The fetal urine production rate can be measured by ultrasonography.,false,,,http://purl.obolibrary.org/obo/HP_0001560,,,,UMLS:C1865279,Abnormally increased production of urine by the fetus resulting in polyhydramnios.,,,,Foetal polyuria,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0001560,,,,,,,,,,,,,,,,,,HP:0001563,The fetal urine production rate can be measured by ultrasonography.,Fetal polyuria,,HP:0001563,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004456,HP_0004456,,,true,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000227,,,,,,,,,,,,,,,,,,true,HP:0004456,,,,,,,,,,,http://purl.obolibrary.org/obo/HP_0009748,
http://purl.obolibrary.org/obo/HP_0031857,Ineffective esophageal peristalsis,Ineffective esophageal motility,"Reduced or inadequate esophageal peristalsis, with resultant slow passage of contents through the esophagus.|Ineffective esophageal motility can be diagnosed by high-resolution manometry if 50% or more swallows are ineffective (failed or weak with the distal contractile integral less than 450 mmHg/s/cm).",false,,,http://purl.obolibrary.org/obo/HP_0100771|http://purl.obolibrary.org/obo/HP_0025270,,,,,"Reduced or inadequate esophageal peristalsis, with resultant slow passage of contents through the esophagus.",,,,Ineffective esophageal motility,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0100771|http://purl.obolibrary.org/obo/HP_0025270,,,,,,,2018-05-05T18:42:33Z,,,,,,https://orcid.org/0000-0002-0736-9199,,,,,HP:0031857,Ineffective esophageal motility can be diagnosed by high-resolution manometry if 50% or more swallows are ineffective (failed or weak with the distal contractile integral less than 450 mmHg/s/cm).,Ineffective esophageal peristalsis,,HP:0031857,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000399,Prelingual sensorineural hearing impairment,"Prelingual sensorineural deafness|Deafness, sensorineural, prelingual","A form of sensorineural deafness with either congenital onset or infantile onset, i.e., before the acquisition of speech.",false,,,http://purl.obolibrary.org/obo/HP_0011474,,,,UMLS:C4021806,"A form of sensorineural deafness with either congenital onset or infantile onset, i.e., before the acquisition of speech.",,HP:0001731,,"Prelingual sensorineural deafness|Deafness, sensorineural, prelingual",,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0011474,,,,,,,,,,,,,,,,,,HP:0000399,,Prelingual sensorineural hearing impairment,,HP:0000399,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002366,Abnormal lower motor neuron morphology,Lower motor neuron signs|Lower motor neuron manifestations|Lower motor neuron disease,Any structural anomaly of the lower motor neuron.|previous def: 'has part' some (quality and ('inheres in' some 'Lower motor neuron (adult human)') and ('has modifier' some abnormal)),false,,,http://purl.obolibrary.org/obo/HP_0000759|http://purl.obolibrary.org/obo/HP_0002450,,,,UMLS:C1865412,Any structural anomaly of the lower motor neuron.,,HP:0007276,,Lower motor neuron signs|Lower motor neuron manifestations|Lower motor neuron disease,,,human_phenotype,,,http://purl.obolibrary.org/obo/HP_0000759|http://purl.obolibrary.org/obo/HP_0002450,,,,,,,,,,,,,,,,,,HP:0002366,previous def: 'has part' some (quality and ('inheres in' some 'Lower motor neuron (adult human)') and ('has modifier' some abnormal)),Abnormal lower motor neuron morphology,,HP:0002366,,,,,,,,,,,,
