,iri,description,synonyms,annotation,label,has_children,is_root
0,http://purl.obolibrary.org/obo/BCO_0000003,"[""An observing process is distinguished from a specimen collecting process in by having an information content entity as an output rather than a specimen. The information artifact may be written or recorded or just be stored in someone's head (specifically depenedent upon that person). In the context of a taxonomic inventory, an observing process may be called a sighting, which is an ad hoc reporting of, typically, a single taxon occurrence, usually motivated by rarity, individual interest in the taxon, or atypicality of circumstances.""]",[],"{'Creator': ['Biocode Commons Ontology Hackathon'], 'editor note': ['This class replaces class bco_0000003, which was made obsolete because of identifier format.', 'We are having conversation with OBI developers about how this term relates to OBI:assay (). Is it equivalent, broader, narrower? What does it mean to be the input to an observation.'], 'example of usage': ['A trip camera capture of an image of a jaguar is an observation, because it is ""selected"" by the camera as worthy of obsevation simply by virtue of moving in front of the camera.', 'Observing and recording the presence or absence of butterflies during a transect walk.', 'Seeing three pelicans flying overhead on Christmas day and report them as part of the Christmas Bird Count.'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000125'], 'taxonomic inventory metadata preferred name': ['sighting']}",observing process,True,False
1,http://purl.obolibrary.org/obo/BCO_0000016,['A planned process whereby a person submits a material sample to an organization.'],[],"{'Creator': ['Biocode Commons Ontology Hackathon'], 'editor note': ['false'], 'example of usage': ['a curator submitting a herbarium speciman to a museum', 'a researcher submitting a water sample to a laboratory storage collection'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000428']}",submitting process,False,False
2,http://purl.obolibrary.org/obo/BCO_0000025,"['An information artifact that is about a spatio-temporal region at which a process (such as collecting process, observing process, or material sampling process) occured.', 'Darwin Core needs to describe both the site and time where some activity occurred as an information content entity (e.g., in recording data from a lab notebook),therefore, we made locality description about a spatial temporal region, rather than a site.']",[],"{'Creator': ['Biocode Commons Ontology Hackathon'], 'editor note': ['This term replaces the obsolete class bco_0000025, but with the correct identifier format.'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000428']}",locality description,False,False
3,http://purl.obolibrary.org/obo/BCO_0000031,"['An object aggregate that has as member part a material sample that is located in museum as a result of a process of curation.', 'Intent is to document biodiversity for research and education. The class museum collection has meaning that is much broader than biological collections. It would probably be better to import this term from another, more general ontology and create a specific subclass for natural history museum collection.']",[],"{'Creator': ['Biocode Commons Ontology Hackathon'], 'editor note': ['This term replaced bco_0000031, which was made obsolete because of incorrect identifier format.'], 'example of usage': ['the painting collection at the Louvre Museum'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000428']}",museum collection,True,False
4,http://purl.obolibrary.org/obo/BCO_0000032,['A museum collection that has as member part a material sample that was derived from an organism.'],[],"{'Creator': ['Biocode Commons Ontology Hackathon'], 'editor note': ['This term replaced bco_0000032, which was made obsolete because of incorrect identifier format.'], 'example of usage': ['the insect collection at the Smithsonian Institution'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000428']}",organismal museum collection,False,False
5,http://purl.obolibrary.org/obo/BCO_0000042,['A planned process by which an organismal entity is associated with a taxon or taxa.'],[],"{'Creator': ['Biocode Commons Ontology Hackathon'], 'editor note': ['Need to add a relation for has specified output some taxonomic association.', 'This term replaces bco_0000042, which was made obsolete because of incorrect identifier format.'], 'example of usage': ['Associating a museum specimen with a specific taxonomic concept based on its characters.', 'Using BLAST to identify the taxa present in an environmental (metagenomic) sample.', 'Using DNA barcoding to identify a plant species.', 'Using a key to identify a plant in the field.'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000125']}",taxonomic identification process,True,False
6,http://purl.obolibrary.org/obo/BCO_0000044,"['A material entity that has a target of observation role, that is, a material entity that is the input of some observing process.']",[],"{'Creator': ['Biocode Commons Ontology Hackathon'], 'editor note': ['This term replaces bco_0000044, which was made obsolete because of incorrect identifier format.'], 'example of usage': ['A bird observed during a Christmas Bird Count'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000428']}",material target of observation,False,False
7,http://purl.obolibrary.org/obo/BCO_0000046,['A role that is borne by some material entity and is realized by the material entity being the input of an observing process.'],[],"{'Creator': ['Biocode Commons Ontology Hackathon'], 'editor note': ['This term replaced bco_0000046, which was made obsolete because of incorrect identifier format.'], 'example of usage': ['the role borne by a bird during a Christmas Bird Count'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000125']}",material target of observation role,False,False
8,http://purl.obolibrary.org/obo/BCO_0000047,['A planned process by which a taxonomic inventory is created.'],[],"{'Creator': ['Taxonomic Inventory Metadata Workshop'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000124'], 'taxonomic inventory metadata preferred name': ['inventory  type']}",taxonomic inventory process,True,False
9,http://purl.obolibrary.org/obo/BCO_0000048,"['A list of names ascribed to biological entities of specified organismal scope recorded over some defined spatial and temporal scope following a described sampling protocol and sampling effort, potentially including values indicating abundance or biomass of the biological entities']",[],"{'Creator': ['Taxonomic Inventory Metadata Workshop'], 'Source': ['https://docs.google.com/spreadsheet/ccc?key=0AhrY0qRdO4budC1mSUNWTDlkOXBVMjcza2Y3aV84SkE#gid=0'], 'example of usage': ['""The Flora of North America""', 'The butterflies of Great Britain', 'The plants of Yosemite National Park'], 'has curation status': ['http://purl.obolibrary.org/obo/IAO_0000125']}",taxonomic inventory,False,False
